class,subclass,PrXs,pid,marketloss,share,freq,duration
Marine Hull,Main,Excess,MH_main_3173,90465.83116,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,1346.220366,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,248134.6953,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,8196.413491,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,136179.7814,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,3106.663767,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,2165.344413,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,3779.773449,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,1135882.097,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,19810.05353,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,1553.331883,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,427036.9826,0.09999975,26,1.503080082
